Country,Year,Cause,Sex,Total Deaths,Under 1 Yr Old,Age 1 Through 4,Age 5 Through 19,Age 20 Through 24,Age 25 Through 34,Age 35 Through 44,Age 45 Through 64,Age 65 Through 79,Age 80 and Above,Unspecified Age,Pop1,name
5150,2000,A419,2,0.006618807596354565,0.0,0.0,0.0,0.0,0.0,0.0,134.58581538618196,55.37396262919403,,0.0,1964100.0,New Zealand
5150,2000,A481,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.902543380080818,,0.0,1893150.0,New Zealand
5150,2000,A483,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.035945216638666,,0.0,1964100.0,New Zealand
5150,2000,A810,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,48.73887436283443,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,A810,2,0.0015274171376202842,0.0,0.0,0.0,0.0,0.0,0.0,60.91848683875566,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,A86,2,0.0015274171376202842,0.0,14.1540654752813,68.35700829896645,0.0,0.0,0.0,39.48882439794308,0.0,,0.0,1964100.0,New Zealand
5150,2000,A872,2,0.000509139045873428,0.0,13.650017819866605,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,AAA,1,7.296305099965665,3125.7163985949346,813.9502944827403,14361.175818080977,10228.877796265482,25982.949053165357,36416.316720809235,122034.29733512929,150946.79766526687,,0.0,1893150.0,New Zealand
5150,2000,AAA,2,6.570439386996588,2204.8571864976325,488.56982842014156,6677.465505829641,2781.9408380428695,11494.480932742732,23029.947558678272,86459.70673590958,115112.92704037474,,0.0,1964100.0,New Zealand
5150,2000,B004,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,B004,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,B012,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,B018,2,0.000509139045873428,0.0,0.0,0.0,0.0,77.21093630670536,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,B022,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,B022,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.686981314597016,,0.0,1964100.0,New Zealand
5150,2000,B029,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,B169,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,62.79481287800755,0.0,,0.0,1893150.0,New Zealand
5150,2000,B181,1,0.004753981459472308,0.0,0.0,0.0,0.0,74.10400654993,0.0,313.1975807516573,63.766737976388555,,0.0,1893150.0,New Zealand
5150,2000,B181,2,0.002036556183493712,0.0,0.0,0.0,0.0,0.0,0.0,161.3257980754544,34.035945216638666,,0.0,1964100.0,New Zealand
5150,2000,B182,1,0.002641100810817949,0.0,0.0,0.0,0.0,0.0,0.0,125.5896257560151,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,B182,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,47.54849549411944,0.0,,0.0,1964100.0,New Zealand
5150,2000,B190,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,B209,1,0.006338641945963077,0.0,0.0,0.0,0.0,291.05459155375956,395.36750917782535,174.32850011884952,0.0,,0.0,1893150.0,New Zealand
